system   D            wsystem.c:583  maybe_parent_dir                 [   0.00189] Also searching E:\Desktop\LUA_Test\LUA_SIClone\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00290] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00295] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.03027] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.11933] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.11982] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.12065] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.12068] al_display=035AB108
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.12069] al_display->vt=014160B8
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.14131] found 160 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.14172] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14175] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.14177] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14179] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.14180] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14182] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.14183] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14185] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.14186] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14188] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.14189] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14191] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.14192] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14194] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.14195] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14197] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.14198] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14200] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.14201] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14203] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.14204] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14206] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.14207] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14213] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.14215] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14217] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.14218] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14220] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.14221] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14223] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.14224] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14226] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.14227] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14229] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.14230] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14232] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.14233] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14235] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.14236] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14238] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.14239] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14241] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.14242] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14244] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.14245] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14247] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.14248] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14250] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.14251] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14253] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.14254] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14255] Score is : 897
